file,line,control_type,action_text,current_icon,proposed_icon,tone,motion,priority,notes
patient-uniapp/src/components/AppActionTile.vue,37,aria-role-button,由调用方标题决定,props.icon,action-unknown,primary,none,P1,通用卡片组件；调用方必须传语义图标，未知运行时值统一回退 action-unknown；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/AppBackNav.vue,18,aria-role-button,返回上一页,字符 ‹,nav-back,primary,left,P1,移除返回字符，改用统一 44×44 图标按钮。
patient-uniapp/src/components/AppButton.vue,41,aria-role-button,由 label 决定,可选 props.icon,action-unknown,primary,none,P1,公共按钮模板；调用点完成迁移后 icon 改为必填，具体语义由调用方决定；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/AppEmptyState.vue,24,AppButton,空状态主操作,无,action-unknown,primary,none,P1,actionLabel 为运行时文案，需由调用方同步传 actionIcon；不可仅凭空状态伪造动作；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/AppHeroPanel.vue,40,AppButton,主视觉面板操作,无,action-unknown,primary,none,P1,actionLabel 为运行时文案，服务包场景按实际动作使用 service-detail 或 service-activate；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/AppListRow.vue,43,aria-role-button,进入列表项,props.icon,action-unknown,primary,none,P1,左侧业务语义由调用方传入；右侧统一增加 nav-chevron-right（right）；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/AppPageHeader.vue,36,AppButton,页头操作,actionIcon,action-unknown,primary,none,P1,运行时 actionIcon 必须来自注册表，并提供 ariaLabel；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/AppSectionHeader.vue,18,aria-role-button,查看分区更多内容,无,nav-chevron-right,muted,right,P1,统一方向指示。
patient-uniapp/src/components/AppServiceProductCard.vue,39,aria-role-button,查看服务商品详情,props.icon,service-detail,primary,right,P0,服务商品卡模板，运行时多实例；卡片主图标仍按商品类别传入。
patient-uniapp/src/components/AppServiceProductCard.vue,70,AppButton,服务商品卡内动作,无,service-detail|service-activate,primary,right,P0,按 actionLabel 区分查看详情和开通，不共用位置型图标；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/CoreEntries.vue,25,aria-role-button,核心功能入口,iconName(it),action-unknown,primary,right,P2,v-for 模板，运行时多实例；确定性映射：consult→consult-doctor；add→action-add；adm（旧图标 bed）→inpatient-service；archive→health-record；其他未登记 key→action-unknown。具体场景 motion=right，覆盖语义默认动效；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/FnGroup.vue,37,aria-role-button,功能列表入口,iconMap[it.key],action-unknown,primary,right,P2,v-for 模板，运行时多实例；确定性映射：clinic→follow-up；packages→service-package；tel→phone-bind；prof→doctor-profile；diet→nutrition；surgery→postop-assessment；contact→record-edit；profile→record-edit；invite→invite-patient；faq→help-center；archive→health-record；health→health-log；elder→elder-mode；add→action-add；replies→reply-record；adm→inpatient-service；其他未登记 key→action-unknown。具体场景 motion=right，覆盖语义默认动效；tone=primary 为多语义或运行时未知模板默认值；调用方须按实际动作与控件 variant 覆盖。
patient-uniapp/src/components/PatientForm.vue,840,tap-target,上传附件,无,upload-record,primary,up,P2,字段模板可能运行时多实例；保留上传中、成功与失败状态。
patient-uniapp/src/components/PatientForm.vue,905,native-button,获取验证码,无,verification-code,primary,none,P2,原生 button 保留表单行为并在内部加入 AppIcon。
patient-uniapp/src/components/PatientForm.vue,939,native-button,提交表单,无,action-confirm,primary,confirm,P2,提交期间锁定，成功/失败状态不改变按钮尺寸。
patient-uniapp/src/pages/archive/health.vue,82,AppButton,重新加载,无,action-refresh,inverse,rotate,P1,加载失败重试。
patient-uniapp/src/pages/archive/health.vue,97,AppButton,查看全部,无,nav-chevron-right,muted,right,P1,进入完整记录列表。
patient-uniapp/src/pages/archive/health.vue,101,aria-role-button,选择健康记录分类,无,health-record,primary,none,P1,v-for 模板，运行时多实例；分类激活态用颜色表达。
patient-uniapp/src/pages/archive/profile.vue,243,AppButton,更新档案,无,action-update,inverse,none,P1,进入档案编辑。
patient-uniapp/src/pages/archive/profile.vue,255,AppButton,返回查看,无,nav-back,inverse,left,P1,退出编辑返回摘要。
